Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.25508	849.9738	-14.1652	1.1895	2’501.5439	0.0000E+00	0.0000E+00
MSTRG.20167	2’543.4078	-5.6762	0.1492	2’790.9808	0.0000E+00	0.0000E+00
MSTRG.8443	1’943.6559	-0.5188	0.7892	3’538.3587	0.0000E+00	0.0000E+00
MSTRG.17365	2’763.0217	11.2491	0.4557	2’929.5891	0.0000E+00	0.0000E+00
MSTRG.21707	2’106.8272	6.8051	0.1918	1’619.5731	0.0000E+00	0.0000E+00
MSTRG.23144	791.1146	-13.8717	1.1895	2’047.2693	0.0000E+00	0.0000E+00
MSTRG.17643	360.4366	0.8562	1.6713	1’825.3840	0.0000E+00	0.0000E+00
MSTRG.7749	1’142.6688	13.1201	1.1849	3’154.6331	0.0000E+00	0.0000E+00
MSTRG.10272	2’341.7037	-1.8333	0.1329	1’506.2699	0.0000E+00	0.0000E+00
MSTRG.21037	848.9873	-5.0726	0.8595	2’496.7699	0.0000E+00	0.0000E+00
MSTRG.24539	2’170.5631	-12.9855	1.1845	1’842.5300	0.0000E+00	0.0000E+00
MSTRG.4158	644.4835	0.0247	0.6312	2’183.1405	0.0000E+00	0.0000E+00
MSTRG.9368	4’110.4708	4.8160	0.1685	1’801.0679	0.0000E+00	0.0000E+00
MSTRG.25967	5’217.3010	-0.8295	0.1142	1’718.0390	0.0000E+00	0.0000E+00
MSTRG.24950	424.3481	10.6638	0.8483	2’493.9814	0.0000E+00	0.0000E+00
MSTRG.3064	760.0362	-13.0931	1.1946	2’306.5611	0.0000E+00	0.0000E+00
MSTRG.26750	247.5464	-11.4734	1.1911	1’907.0306	0.0000E+00	0.0000E+00
MSTRG.19740	574.5075	-1.4879	0.3603	1’772.1596	0.0000E+00	0.0000E+00
MSTRG.13994	2’014.9257	-9.1809	0.4347	1’719.0545	0.0000E+00	0.0000E+00
MSTRG.23045	2’075.4151	-7.0634	0.2031	1’641.5955	0.0000E+00	0.0000E+00
MSTRG.1361	398.0548	10.5565	0.8591	1’543.4007	0.0000E+00	0.0000E+00
MSTRG.12056	2’503.9899	0.4424	0.1228	1’783.4821	0.0000E+00	0.0000E+00
MSTRG.1849	452.5155	-0.1029	0.7364	1’713.7733	0.0000E+00	0.0000E+00
MSTRG.28019	598.1541	-13.7099	1.2019	1’665.2458	0.0000E+00	0.0000E+00
MSTRG.19299	950.4935	-9.2520	0.3799	2’193.5756	0.0000E+00	0.0000E+00
MSTRG.10917	244.5539	2.1134	1.3566	1’565.9186	0.0000E+00	0.0000E+00
MSTRG.24331	403.3383	3.8373	0.1726	2’041.0802	0.0000E+00	0.0000E+00
MSTRG.7486	384.6863	11.3672	1.1899	1’489.6781	1.0000E-322	8.8780E-320
MSTRG.13493	849.3387	-7.6503	0.2799	1’473.7154	2.9731E-319	2.4564E-316
MSTRG.4829	49’487.8178	2.2123	0.0807	1’461.5531	1.2955E-316	1.0346E-313
MSTRG.5661	4’118.9688	-6.3630	0.1609	1’459.9063	2.9496E-316	2.2798E-313
MSTRG.1859	2’021.1632	14.2899	1.1880	1’447.7661	1.2711E-313	9.5174E-311
