gene_identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-value adjusted
MSTRG.9961	321.1887	6.0131	0.3150	580.2327	1.9433E-125	2.5444E-123
MSTRG.24331	403.3383	3.8373	0.1726	2041.0802	0.0000E+00	0.0000E+00
MSTRG.15007	891.1246	-6.1849	0.2582	1105.3618	2.4993E-239	1.2221E-236
MSTRG.11712	294.8415	4.4534	0.2100	1103.7362	5.6299E-239	2.5941E-236
MSTRG.1072	232.1850	3.7520	1.2965	1016.7032	4.2822E-220	1.4250E-217
MSTRG.4639	112.3781	-11.2976	1.2012	1001.7859	7.3742E-217	2.3558E-214
MSTRG.1814	8808.5160	-1.1792	0.1577	706.5597	7.9368E-153	1.4086E-150
MSTRG.9017	741.7663	-4.2405	0.2995	646.7595	7.3442E-140	1.1501E-137
MSTRG.17545	99.4184	0.0281	0.6819	642.5256	6.0800E-139	9.4595E-137
MSTRG.27769	889.5789	-6.4879	0.7004	633.7086	4.9602E-137	7.4279E-135
MSTRG.7493	749.3421	6.0551	0.2565	624.8967	4.0359E-135	5.8607E-133
MSTRG.5801	77.8512	9.6427	1.2084	582.1392	7.5038E-126	9.8786E-124
MSTRG.25207	1526.5222	2.3733	0.2650	546.0620	4.9603E-118	5.9723E-116
MSTRG.21708	295.7037	6.0885	0.3517	468.6655	2.9435E-101	2.9509E-99
MSTRG.10040	43.5105	8.8342	1.2221	393.4714	5.7447E-85	4.5881E-83
MSTRG.22532	449.1976	6.2606	0.3817	365.8019	5.6478E-79	4.0760E-77
MSTRG.38	376.4500	9.1877	0.7735	342.4690	6.3727E-74	4.1379E-72
MSTRG.23212	109.0763	3.4376	0.7219	325.0379	3.7857E-70	2.2791E-68
MSTRG.13425	125.2251	-4.1165	0.3808	320.4897	3.6538E-69	2.1300E-67
MSTRG.1616	228.1816	-5.7038	0.5947	290.9280	9.1433E-63	4.6512E-61
MSTRG.477	896.5814	-2.4514	0.1776	237.2574	3.7289E-51	1.4527E-49
MSTRG.16067	108.6909	-5.7497	1.2450	236.2756	6.0796E-51	2.3495E-49
MSTRG.27923	40.7568	1.8314	0.3599	219.1143	3.1201E-47	1.0914E-45
MSTRG.17720	25.6866	9.0209	1.2601	208.2713	6.8833E-45	2.2779E-43
MSTRG.20473	850.0060	2.8068	0.2234	195.1952	4.6056E-42	1.3933E-40
MSTRG.3842	2699.9568	-0.7350	0.2153	191.1197	3.4972E-41	1.0332E-39
MSTRG.3766	109.0409	2.6129	0.2340	189.3939	8.2515E-41	2.4023E-39
MSTRG.21709	32.0977	7.1176	1.0907	174.6307	1.2732E-37	3.3015E-36
MSTRG.26802	348.8506	2.4773	0.2082	168.7425	2.3775E-36	5.9093E-35
MSTRG.14269	482.7709	2.3217	0.2056	168.1461	3.1980E-36	7.8668E-35
MSTRG.25030	117.5021	-2.3413	0.2680	165.0581	1.4841E-35	3.5523E-34
MSTRG.6787	49.8247	0.9249	0.4888	159.9382	1.8900E-34	4.3210E-33
MSTRG.5387	231.8602	-0.8737	0.2324	157.7269	5.6709E-34	1.2675E-32
MSTRG.23154	363.6750	-1.2666	0.1825	156.4158	1.0879E-33	2.3935E-32
MSTRG.27399	27528.5389	-1.4350	0.1150	151.7803	1.0882E-32	2.2992E-31
MSTRG.25490	21.6282	7.7988	1.2557	144.1026	4.9291E-31	9.7444E-30
MSTRG.27436	37282.3262	0.8076	0.0993	143.9456	5.3289E-31	1.0517E-29
MSTRG.18159	13404.4414	-1.1734	0.1077	139.5164	4.8055E-30	9.1745E-29
